"id","gml_id","bldg_volume","cal_file_assoc","folder_name","zone"
"B-1_2_LoD0_LoD1_LoD2_380","ID_0599100010039724",66.65665435791016,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_382","ID_0599100010040636",123.10134887695312,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_383","ID_0599100010040755",64.60081481933594,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_384","ID_0599100010040824",916.6939697265625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_386","ID_0599100010042322",76.05677795410156,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_389","ID_0599100010042849",68.99549102783203,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_391","ID_0599100010042997",66.87137603759766,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_393","ID_0599100010043253",479.4810791015625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_395","ID_0599100010045404",69.49520874023438,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_396","ID_0599100010046022",61.11355972290039,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_397","ID_0599100010046214",81.68701171875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_405","ID_0599100010048294",95.44554901123047,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_406","ID_0599100010049752",81.83969116210938,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_412","ID_0599100010055370",70.65916442871094,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_413","ID_0599100010055484",33.537017822265625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_415","ID_0599100010056604",63.279502868652344,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_419","ID_0599100010057978",70.45111083984375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_421","ID_0599100010058287",70.14517974853516,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_424","ID_0599100010058877",77.96778106689453,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_425","ID_0599100010058946",70.53301239013672,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_427","ID_0599100010059807",85.71184539794922,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_428","ID_0599100010059861",72.67784881591797,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_430","ID_0599100010061159",114.41307830810547,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_435","ID_0599100010062487",60.58747482299805,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_439","ID_0599100010063979",91.14214324951172,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_445","ID_0599100010069075",91.38807678222656,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_452","ID_0599100010071118",71.00968933105469,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_453","ID_0599100010072118",70.11156463623047,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_461","ID_0599100100003745",11862.63671875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_466","ID_0599100010030939",221.3072509765625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_468","ID_0599100010049305",1250.61279296875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_472","ID_0599100000195226",157.05783081054688,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_473","ID_0599100000214794",529.7930908203125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_477","ID_0599100010001379",144.83531188964844,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_481","ID_0599100010004591",236.8419189453125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_483","ID_0599100010008923",167.97988891601562,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_484","ID_0599100010009039",563.1654663085938,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_486","ID_0599100010013576",162.5623779296875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_488","ID_0599100010014648",31.485200881958008,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_491","ID_0599100010028847",67.81403350830078,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_492","ID_0599100010029507",25.9521484375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
